year,team_name,team_grade
2018,AIR FORCE,84.8
2018,AKRON,79.2
2018,ALABAMA,95.8
2018,APP STATE,92.6
2018,ARIZONA,81.6
2018,ARIZONA ST,75.7
2018,ARKANSAS,73.2
2018,ARK STATE,87
2018,ARMY,91
2018,AUBURN,90.5
2018,BALL ST,73.4
2018,BAYLOR,80.5
2018,BOISE ST,91.6
2018,BOSTON COL,87.8
2018,BOWL GREEN,65.6
2018,BUFFALO,89.1
2018,BYU,84.6
2018,CAL,83.8
2018,C MICHIGAN,68.4
2018,CHARLOTTE,82.9
2018,CINCINNATI,90.7
2018,CLEMSON,95
2018,COAST CAR,72.5
2018,COLORADO,80.7
2018,COLO STATE,70.2
2018,UCONN,67
2018,DUKE,77.5
2018,E CAROLINA,74.7
2018,E MICHIGAN,80.5
2018,FLORIDA,91.4
2018,FAU,83.7
2018,FIU,91.1
2018,FLORIDA ST,77.9
2018,FRESNO ST,90.6
2018,GEORGIA,95
2018,GA SOUTHRN,90.5
2018,GA STATE,73
2018,GA TECH,82.2
2018,HAWAII,79.3
2018,HOUSTON,85.1
2018,ILLINOIS,77.2
2018,INDIANA,76.4
2018,IOWA,91.6
2018,IOWA STATE,89.2
2018,KANSAS,76.3
2018,KANSAS ST,75.8
2018,KENT STATE,69.5
2018,KENTUCKY,90.5
2018,LIBERTY,84.6
2018,LA LAFAYET,85.5
2018,LA TECH,82.2
2018,LA MONROE,79.6
2018,LOUISVILLE,59.1
2018,LSU,91.3
2018,MARSHALL,86.6
2018,MARYLAND,78.7
2018,UMASS,78.9
2018,MEMPHIS,92
2018,MIAMI FL,88.3
2018,MIAMI OH,83.9
2018,MICH STATE,80.7
2018,MICHIGAN,92.8
2018,MIDDLE TN,74.8
2018,MINNESOTA,90.9
2018,OLE MISS,87.7
2018,MISS STATE,90.5
2018,MISSOURI,84.6
2018,NAVY,74.2
2018,NEBRASKA,73.8
2018,NEVADA,80.6
2018,NEW MEXICO,73.1
2018,NEW MEX ST,67
2018,N CAROLINA,84.3
2018,NC STATE,92.3
2018,N TEXAS,91.4
2018,N ILLINOIS,82.6
2018,NWESTERN,80.4
2018,NOTRE DAME,92.4
2018,OHIO,93.6
2018,OHIO STATE,91.6
2018,OKLAHOMA,92.8
2018,OKLA STATE,86.9
2018,DOMINION,79.8
2018,OREGON,90.8
2018,OREGON ST,71.6
2018,PENN STATE,87.1
2018,PITTSBURGH,82.5
2018,PURDUE,78.5
2018,RICE,70.8
2018,RUTGERS,66.6
2018,S DIEGO ST,84.3
2018,S JOSE ST,73.8
2018,SMU,80.2
2018,S ALABAMA,68.7
2018,S CAROLINA,83.2
2018,SO MISS,87.2
2018,STANFORD,90.1
2018,SYRACUSE,85.2
2018,TCU,81.8
2018,TEMPLE,90.1
2018,TENNESSEE,81.8
2018,TEXAS,82.7
2018,TEXAS A&M,88.6
2018,TEXAS TECH,82.8
2018,TEXAS ST,82.8
2018,TOLEDO,86.7
2018,TROY,88.4
2018,TULANE,80
2018,TULSA,74.7
2018,UAB,91.4
2018,UCF,87.8
2018,UCLA,76.2
2018,UNLV,73.4
2018,USC,85.5
2018,USF,80.3
2018,UTAH,90.8
2018,UTAH ST,92.2
2018,UTEP,72.6
2018,UTSA,71.4
2018,VANDERBILT,81.6
2018,VIRGINIA,87.6
2018,VA TECH,76
2018,WAKE,86.4
2018,WASHINGTON,93.6
2018,WASH STATE,87.4
2018,W VIRGINIA,90.8
2018,W KENTUCKY,76.6
2018,W MICHIGAN,79.9
2018,WISCONSIN,92.2
2018,WYOMING,85.8
