year,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
2020,DeVonta Smith,61100,WR,ALABAMA,13,10.7,10,80.7,47.8,11,23,0,2.5,3,84,103,0,86.9,82.9,94.9,,95.6,0,0,2,66,0,0,447,1,117,94.6,423,36.9,165,152.6,145,23,63.1,282,1856,953,8.1,15.9,4.39
2020,Jonathan Adams Jr.,61148,WR,ARK STATE,10,15.3,7,64.5,62.2,23,37,0,12.4,11,58,113,0,53.7,75.8,85.8,,85.8,0,0,1,52,0,0,437,2,78,93.8,410,8.5,37,123.5,121,12,91.3,399,1106,256,3.3,14.2,2.7
2020,Calvin Austin III,61418,WR,MEMPHIS,11,13.4,13,52.9,33.3,9,27,0,12.5,9,44,218,1,54.8,69.1,74.6,,75.1,0,0,3,65,0,0,457,1,63,92.6,423,21,96,103.4,119,11,79,361,1053,356,5.7,16.7,2.49
2020,Jaelon Darden,61522,WR,N TEXAS,9,12.9,23,66.1,0,0,9,0,8.6,7,46,251,0,67.3,78.1,89.8,,89.9,0,0,4,75,0,0,283,1,74,97.5,276,85.9,243,126.1,112,19,14.1,40,1190,571,7.7,16.1,4.31
2020,Jalen Tolbert,61637,WR,S ALABAMA,11,17.1,7,61,43.8,14,32,0,7.2,5,43,288,1,71.5,50.8,79.2,,79.2,0,0,1,73,0,0,444,3,64,94.8,421,1.6,7,117.4,105,8,98.4,437,1085,280,4.4,17,2.58
2020,Marlon Williams,55411,WR,UCF,8,10.8,22,68.3,21.4,3,14,0,5.3,4,46,323,0,79.9,77.2,87.4,,88.6,0,0,2,85,0,0,355,2,71,93.5,332,94.4,335,124.6,104,10,5.4,19,1037,444,6.3,14.6,3.12
2020,Zay Flowers,97268,WR,BOSTON COL,11,14.4,9,53.4,33.3,4,12,0,11.3,7,30,121,1,59.3,53.3,72.7,,74.6,0.5,2,3,77,0,0,440,4,55,94.3,415,48,211,99.7,103,9,51.6,227,892,368,6.7,16.2,2.15
2020,Elijah Moore,84302,WR,OLE MISS,8,10.9,18,85.1,73.3,11,15,0,2.3,2,55,226,0,90.9,81.8,91.2,67.9,92.4,0.3,1,4,91,0.3,1,337,3,86,92,310,79.8,269,125.8,101,8,15.7,53,1193,505,5.9,13.9,3.85
2020,Taj Harris,77970,WR,SYRACUSE,10,13,22,57.4,17.6,3,17,1,9.4,6,30,304,1,65.1,50.6,70.9,,71.7,0,0,6,79,0,0,367,3,58,95.4,350,12.8,47,71.9,101,5,87.2,320,733,362,6.2,12.6,2.09
2020,Seth Williams,84137,WR,AUBURN,11,13.8,14,47,30,9,30,0,14.5,8,34,115,1,47.7,44.2,69.8,,69.6,0,0,3,58,0,0,388,2,47,95.4,370,26.5,103,73.7,100,4,73.5,285,759,258,5.5,16.1,2.05
2020,Amari Rodgers,61212,WR,CLEMSON,12,7.6,17,77.8,14.3,1,7,0,7.2,6,42,140,1,73.7,57.2,79.1,,80,0.5,2,2,83,0,0,409,2,77,95.6,391,86.3,353,124.7,99,7,13.2,54,1020,613,8,13.2,2.61
2020,Billy Kemp IV,77037,WR,VIRGINIA,10,7.5,16,69.1,30,3,10,1,6.9,5,34,335,1,72.8,83.6,73.9,65.1,75.8,0.8,3,6,29,0.3,1,364,3,67,94.5,344,24.2,88,65,97,1,66.5,242,644,313,4.7,9.6,1.87
2020,Jaivon Heiligh,84159,WR,COAST CAR,12,13.3,10,69.9,47.4,9,19,0,8.5,6,47,141,0,68.2,82.1,88.8,,89.8,1.3,4,1,54,0,0,300,1,65,93.3,280,30.7,92,136.4,93,10,67.7,203,998,300,4.6,15.4,3.56
2020,Xavier Hutchinson,122518,WR,IOWA STATE,12,10.2,16,68.8,47.6,10,21,0,5.9,4,35,193,0,76.8,74.9,73.4,,73.7,0,0,3,65,0,0,377,1,64,93.9,354,19.1,72,94.9,93,4,80.9,305,771,374,5.8,12,2.18
2020,Tylan Wallace,61577,WR,OKLA STATE,9,14.8,9,64.1,56.5,13,23,1,6.3,4,44,262,0,75,74.9,86.1,,86.2,0,0,5,55,0,0,298,3,59,95,283,12.8,38,96.4,92,6,87.2,260,922,296,5,15.6,3.26
2020,Dax Milne,84147,WR,BYU,12,13.2,6,76.9,60,9,15,0,2.8,2,52,128,0,87.9,82.2,90,,89.6,0.6,2,1,78,0,0,337,1,70,94.1,317,20.5,69,143,91,8,78.9,266,1188,397,5.7,17,3.75
2020,Joshua Cephus,98095,WR,UTSA,12,10.3,12,63.3,50,8,16,0,1.7,1,35,331,0,89.9,74.7,72.8,,74.3,0,0,2,35,0,0,377,4,57,94.2,355,16.7,63,89.2,90,5,83.3,314,542,185,3.2,9.5,1.53
2020,Romeo Doubs,84329,WR,NEVADA,9,17.1,12,66.7,31.3,5,16,0,7.7,5,39,239,0,69.9,63.4,76.4,,78.2,0,0,1,65,0,0,375,3,60,93.6,351,10.7,40,133.6,90,9,89.3,335,1020,389,6.5,17,2.91
2020,Hunter Long,60859,TE,BOSTON COL,11,10.1,3,64,45.8,11,24,1,5,3,35,121,0,79,74.4,83.3,54.9,83.2,57.6,272,3,36,11,52,472,2,57,83.3,393,32.8,155,92.2,89,5,8.9,42,685,176,3.1,12,1.74
2020,Whop Philyor,61320,WR,INDIANA,8,9.2,12,60.7,80,8,10,0,5.3,3,26,190,1,78.3,48.5,69.7,62.1,71.5,0,0,1,63,0.3,1,316,3,54,92.4,292,79.4,251,82.2,89,3,19.9,63,491,227,4.2,9.1,1.68
