year,player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
2021,Jerreth Sterns,102597,WR,W KENTUCKY,14,186,0,346,6.4,6,74.5,50,4,8,0,0,24,0,91.1,80.6,1,74,0,0,177,38,91.5,162,132.9,51,27.4,7,457,305,8,12,2.82,0,6.9,12,83.5,66.7,6,9,2.6,2,44,0,88.9,87.6,0,72,0.6,2,340,76,96.2,327,132.2,91,48.9,5,1032,544,7.2,13.6,3.16
2021,Deven Thompkins,84480,WR,UTAH ST,14,161,0,329,17.3,3,58.3,40,8,20,8.7,4,25,0,66.7,79.7,4,75,0,0,250,42,93.6,234,99.8,72,44.7,6,768,235,5.6,18.3,3.28,0,14.9,4,75.8,50,6,12,0,0,28,0,91.8,85.3,2,54,0,0,234,47,94,220,119.2,62,38.5,3,762,229,4.9,16.2,3.46
2021,Jordan Addison,123000,WR,PITTSBURGH,14,144,0,268,13.4,7,71.1,54.5,6,11,8.6,3,24,0,66.6,87.8,1,62,0,0,179,32,92.2,165,143.8,45,31.3,8,563,220,6.9,17.6,3.41,0,11.1,13,71.1,58.3,7,12,9.2,6,35,0,65.1,84.3,2,67,0,0,291,59,96.9,282,125.7,83,57.6,7,922,415,7,15.6,3.27
2021,Josh Downs,122832,WR,N CAROLINA,13,144,0,245,8.9,4,59.5,50,3,6,10.7,3,16,0,59.5,71.3,3,63,0,0,149,25,94,140,74.3,42,29.2,2,368,265,10.6,14.7,2.63,0,8.8,4,79.7,50,1,2,6.3,4,31,0,74.9,84.7,0,59,0,0,241,59,97.9,236,127.7,74,51.4,4,764,374,6.3,12.9,3.24
2021,Wan'Dale Robinson,101735,WR,KENTUCKY,13,140,0,202,10.3,9,68.8,16.7,1,6,8.3,2,18,0,65.7,89.2,0,41,0,0,90,22,94.4,85,141.9,32,22.9,4,330,145,6.6,15,3.88,0,11.4,9,75.6,75,6,8,6.3,4,28,0,74.6,83.5,4,49,0,0,221,59,98.2,217,88,78,55.7,2,668,268,4.5,11.3,3.08
2021,Makai Polk,100647,WR,MISS STATE,13,139,0,227,9.1,2,75,33.3,1,3,0,0,13,0,86.7,74.6,0,42,0,0,134,21,94,126,120.1,28,20.1,2,213,72,3.4,10.1,1.69,0,8.4,4,82.1,50,3,6,6.8,4,29,0,73.6,66.5,1,50,0,0,323,55,96.9,313,116.9,67,48.2,4,588,175,3.2,10.7,1.88
2021,Tank Dell,78874,WR,HOUSTON,14,139,0,182,9.1,7,69.8,57.1,4,7,9.1,3,23,1,64.4,87.4,1,36,0,0,132,30,95.5,126,120.5,43,30.9,4,402,218,7.3,13.4,3.19,0,11.6,10,67.2,14.3,1,7,10,5,28,0,62.3,80.7,1,52,0,0,249,45,98,244,114.6,67,48.2,4,690,291,6.5,15.3,2.83
2021,Jahan Dotson,84375,WR,PENN STATE,12,137,0,266,10.3,0,53.3,0,0,4,5.9,1,11,1,71.9,67.5,0,45,0,0,137,16,92.7,127,95.1,30,21.9,2,190,93,5.8,11.9,1.5,0,11.2,9,72.8,57.1,4,7,0,0,43,0,93.7,90.4,4,86,0,0,272,67,96.3,262,109.9,92,67.2,7,881,361,5.4,13.1,3.36
2021,Josh Johnson,61329,WR,TULSA,13,135,0,320,9.4,3,65.3,50,3,6,15.8,6,19,0,44.4,68.5,4,63,0,0,177,32,92.1,163,91.5,49,36.3,5,411,186,5.8,12.8,2.52,0,14.1,3,66.7,55.6,5,9,0,0,23,0,91.4,81.2,2,40,0,0,204,42,93.6,191,84.4,63,46.7,1,525,125,3,12.5,2.75
2021,David Bell,97989,WR,PURDUE,11,133,0,273,12,4,50,27.3,3,11,0,0,9,0,82.7,81.3,0,60,0,0,75,13,89.3,67,104.2,26,19.5,2,217,130,10,16.7,3.24,0,10.3,14,72.5,37.5,3,8,7.9,5,35,0,69,80.8,0,53,0,0,296,58,97.6,289,106.2,80,60.2,1,759,283,4.9,13.1,2.63
2021,Jalen Tolbert,61637,WR,S ALABAMA,12,129,0,288,17,1,47.8,36.4,4,11,8.3,1,8,0,64.6,73.9,1,68,0,0,92,11,95.7,88,110.3,23,17.8,3,259,129,11.7,23.5,2.94,0,14,10,70.2,58.3,7,12,7.8,5,42,1,69.8,88,1,61,0,0,297,59,96.6,287,119.6,84,65.1,3,1101,412,7,18.7,3.84
2021,John Metchie III,97400,WR,ALABAMA,13,128,0,103,10,5,68,57.1,4,7,8.1,3,21,0,68,81.5,1,46,0,0,151,34,96,145,115,50,39.1,4,455,268,7.9,13.4,3.14,0,8,13,77.8,57.1,4,7,8.7,4,21,0,65.9,73.5,1,41,0,0,222,42,96.8,215,116.7,54,42.2,3,508,283,6.7,12.1,2.36
2021,Hassan Beydoun,78185,WR,E MICHIGAN,13,126,0,160,8.5,4,64.3,54.5,6,11,12.9,4,15,1,53.7,71.6,0,64,0,0,122,27,94.3,115,109.2,42,33.3,3,300,154,5.7,11.1,2.61,0,7.9,2,80.3,75,6,8,5.4,3,33,0,77.2,76.8,1,45,0.4,1,261,53,97.3,254,98.2,66,52.4,0,599,283,5.3,11.3,2.36
2021,A.T. Perry,77975,WR,WAKE,14,125,0,339,15.5,5,61,57.1,4,7,7.4,2,21,0,70,78.5,0,46,0,0,190,25,93.2,177,121,41,32.8,3,430,87,3.5,17.2,2.43,0,15.8,4,59.7,27.3,3,11,9.8,4,28,0,62.3,79.5,2,69,0,0,238,37,96.2,229,123.1,62,49.6,9,671,162,4.4,18.1,2.93
2021,Skyy Moore,97116,WR,W MICHIGAN,12,125,0,347,8.5,3,75,40,2,5,0,0,15,0,87.7,81.1,0,74,0,0,111,24,90.1,100,143.9,32,25.6,4,305,149,6.2,12.7,3.05,0,10.7,21,78.9,80,4,5,3.4,2,35,0,84.1,91.5,1,64,0,0,224,56,95.1,213,119.9,71,56.8,3,767,314,5.6,13.7,3.6
2021,Calvin Turner Jr.,109028,WR,HAWAII,13,124,0,180,11.5,6,56.8,25,1,4,19.2,5,15,0,38.5,75.6,2,33,1.5,2,133,21,95.5,127,76.5,37,29.8,2,281,136,6.5,13.4,2.21,0,8.6,18,65.1,50,3,6,12.8,6,22,0,53,71.9,3,37,0.8,2,264,41,96.6,255,74,63,50.8,1,488,320,7.8,11.9,1.91
