player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Ja'Marr Chase,84270,WR,CIN,6,8.4,9,70.4,42.9,3,7,0,3.8,2,35,7,0,79.1,79.5,86.7,,86.1,0.0,0,1,63,0.0,0,259,0,50,96.1,249,24.7,64,101.6,71,3,74.5,193,556,286,5.7,11.1,2.23
Puka Nacua,100632,WR,LA,6,9.6,4,75.8,50.0,4,8,0,9.1,5,31,26,1,58.8,39.0,82.2,55.6,80.9,0.0,0,1,37,0.8,2,251,1,50,94.8,238,35.1,88,106.8,66,2,64.9,163,598,184,3.7,12.0,2.51
Stefon Diggs,9579,WR,BUF,6,11.3,4,76.6,45.5,5,11,0,2.0,1,31,4,1,86.6,79.3,85.7,,86.5,0.0,0,2,55,0.0,0,225,3,49,93.8,211,32.9,74,119.3,64,5,64.9,146,620,155,3.2,12.7,2.94
Davante Adams,8688,WR,LV,6,11.0,3,66.1,33.3,4,12,0,2.5,1,27,23,0,90.1,78.0,81.9,,82.2,0.0,0,2,32,0.0,0,224,0,39,93.8,210,16.1,36,93.3,59,3,83.5,187,471,113,2.9,12.1,2.24
Adam Thielen,8288,WR,CAR,6,8.1,1,83.1,33.3,1,3,0,0.0,0,33,5,0,90.5,79.3,84.3,28.5,86.1,0.0,0,0,30,0.4,1,268,1,49,92.5,248,72.4,194,125.2,59,4,27.2,73,509,177,3.6,10.4,2.05
A.J. Brown,48327,WR,PHI,6,14.1,7,72.4,50.0,7,14,0,2.3,1,32,24,0,84.3,78.6,91.0,,90.9,0.0,0,1,59,0.0,0,240,1,42,95.4,229,20.0,48,115.0,58,2,80.0,192,672,232,5.5,16.0,2.93
Michael Pittman Jr.,29049,WR,IND,6,8.6,1,70.2,50.0,5,10,0,2.4,1,17,14,1,83.0,29.9,67.7,66.3,69.2,1.9,5,3,40,0.4,1,261,3,40,93.9,245,24.5,64,74.2,57,1,73.6,192,406,185,4.6,10.2,1.66
Tyreek Hill,10799,WR,MIA,6,13.3,9,75.0,50.0,3,6,0,2.3,1,35,17,0,83.5,78.6,94.7,,94.9,1.2,2,1,69,0.0,0,168,2,42,96.4,162,33.9,57,144.9,56,6,63.7,107,814,329,7.8,19.4,5.02
Chris Olave,84355,WR,NO,6,15.1,0,59.3,40.0,4,10,0,0.0,0,22,20,0,88.3,76.8,78.7,,79.7,0.0,0,2,45,0.0,0,233,1,32,95.3,222,42.5,99,74.2,54,1,56.2,131,414,149,4.7,12.9,1.86
Marquise Brown,61568,WR,ARZ,6,13.0,3,53.7,27.3,3,11,0,6.5,2,21,1,0,67.5,76.7,72.1,,73.3,0.0,0,1,41,0.0,0,222,1,29,92.3,205,17.6,39,83.4,54,3,82.0,182,334,91,3.1,11.5,1.63
